Student_ID,Device_Type,Hours_Used_Per_Day,Purpose,Operating_System,Department,Time_of_Usage,Internet_Usage_Mode,App_Used_Most,Usage_Location,Device_Brand,Study_Hours,Entertainment_Hours,Sleep_Impact
1,Laptop,7.7,Both,Windows,BCA,Morning,Mobile Data,YouTube,Library,Lenovo,3.8,3.9,Yes
2,Laptop,9.5,Study,Linux,BA,Morning,WiFi,YouTube,Classroom,Apple,9.5,0.0,Yes
3,Mobile,7.4,Entertainment,Android,CS,Evening,WiFi,Zoom,Hostel,Samsung,0.0,7.4,No
4,Mobile,10.0,Both,iOS,BA,Night,WiFi,Zoom,Hostel,Apple,5.8,4.2,No
5,Mobile,4.1,Entertainment,iOS,BA,Morning,Mobile Data,YouTube,Library,Others,0.0,4.1,No
6,Mobile,9.6,Both,iOS,CS,Morning,WiFi,Zoom,Classroom,Dell,5.4,4.2,No
7,Tablet,1.5,Both,Others,BCom,Morning,Mobile Data,WhatsApp,Classroom,Others,0.9,0.6,Yes
8,Tablet,3.8,Study,Others,BSc,Afternoon,WiFi,YouTube,Hostel,Dell,3.8,0.0,No
9,Tablet,4.3,Entertainment,Others,BBA,Night,WiFi,Others,Library,Dell,0.0,4.3,Yes
10,Mobile,7.3,Entertainment,iOS,BCom,Morning,WiFi,Google Meet,Classroom,Dell,0.0,7.3,Yes
11,Tablet,6.7,Study,Windows,BCA,Afternoon,Mobile Data,YouTube,Classroom,Samsung,6.7,0.0,Yes
12,Mobile,3.8,Entertainment,Android,CS,Afternoon,WiFi,Others,Home,Others,0.0,3.8,Yes
13,Mobile,5.0,Entertainment,iOS,BSc,Night,Mobile Data,WhatsApp,Hostel,Lenovo,0.0,5.0,Yes
14,Mobile,4.9,Entertainment,iOS,BSc,Evening,WiFi,Google Meet,Classroom,Lenovo,0.0,4.9,Yes
15,Laptop,2.8,Study,Windows,BCom,Evening,Mobile Data,Zoom,Home,Apple,2.8,0.0,No
16,Laptop,2.2,Both,Windows,BSc,Evening,WiFi,YouTube,Home,Apple,1.1,1.1,Yes
17,Laptop,8.8,Both,Linux,BSc,Night,Mobile Data,WhatsApp,Home,Apple,5.2,3.6,Yes
18,Laptop,8.2,Both,Linux,BCA,Evening,WiFi,YouTube,Home,HP,4.2,4.0,No
19,Tablet,1.7,Entertainment,iOS,BBA,Evening,WiFi,Zoom,Home,Lenovo,0.0,1.7,Yes
20,Mobile,4.2,Both,Android,BBA,Morning,WiFi,WhatsApp,Hostel,HP,2.3,1.9,Yes
21,Tablet,1.7,Both,Linux,BA,Night,Mobile Data,WhatsApp,Hostel,Apple,0.8,0.9,Yes
22,Tablet,3.7,Entertainment,Others,CS,Evening,WiFi,WhatsApp,Classroom,Apple,0.0,3.7,Yes
23,Laptop,4.3,Entertainment,Windows,BCA,Morning,Mobile Data,YouTube,Home,Apple,0.0,4.3,Yes
24,Mobile,6.4,Both,Android,CS,Night,WiFi,WhatsApp,Home,Lenovo,2.6,3.8,Yes
25,Tablet,4.9,Entertainment,Others,BSc,Afternoon,Mobile Data,WhatsApp,Library,Apple,0.0,4.9,No
26,Mobile,7.1,Study,iOS,CS,Evening,WiFi,Others,Classroom,Samsung,7.1,0.0,No
27,Tablet,8.7,Both,Android,BCom,Morning,WiFi,WhatsApp,Library,Others,3.7,5.0,No
